item,test_id,dino_blind,claude_blind,luna_blind,grok_blind,majority,unanimous
L001,lme_0008,1,1,1,1,1,1
L002,lme_0015,1,1,1,1,1,1
L003,lme_0010,0,0,0,0,0,1
L004,lme_0017,0,0,0,0,0,1
L005,lme_0009,0,0,0,0,0,1
L006,lme_0014,0,0,0,0,0,1
L007,lme_0021,1,1,1,1,1,1
L008,lme_0004,0,0,0,0,0,1
L009,lme_0022,0,0,0,0,0,1
L010,lme_0006,1,1,1,1,1,1
L011,lme_0024,0,0,0,0,0,1
L012,lme_0013,0,0,0,0,0,1
L013,lme_0019,0,0,0,0,0,1
L014,lme_0012,0,0,0,0,0,1
L015,lme_0020,1,1,1,1,1,1
L016,lme_0011,0,0,0,0,0,1
L017,lme_0003,0,0,0,0,0,1
L018,lme_0023,0,0,0,0,0,1
L019,lme_0005,1,1,1,1,1,1
L020,lme_0016,0,0,0,0,0,1
L021,lme_0007,1,1,1,1,1,1
L022,lme_0018,1,1,1,1,1,1
L023,lme_0000,1,1,1,1,1,1
L024,lme_0001,0,0,0,0,0,1
L025,lme_0002,1,1,1,1,1,1
