item,correct,note
K001,0,empty
K002,1,
K003,0,
K004,0,
K005,0,
K006,1,
K007,0,
K008,1,
K009,1,
K010,1,
K011,0,"partial: names one bike, not three"
K012,0,
K013,1,
K014,1,
K015,0,
K016,0,
K017,0,
K018,1,
K019,0,
K020,0,
K021,0,
K022,0,
K023,1,
K024,1,
K025,0,
K026,1,
K027,1,
K028,0,"WRONG specific answer (Tennis Warehouse) - fabrication, not abstention"
K029,0,
K030,0,
K031,0,
K032,0,
K033,1,
K034,1,
K035,1,
K036,0,
K037,0,
K038,1,
K039,1,
K040,1,
K041,1,
K042,1,
K043,1,
K044,1,states 7 inside a meta-complaint about the transcript
K045,1,
K046,0,
K047,1,
K048,1,
K049,1,
K050,1,
K051,0,
K052,0,
K053,0,
K054,0,
K055,1,
K056,1,hedged: 'Target's the likely answer' - states the fact with a qualifier
K057,0,
K058,0,
K059,0,
K060,0,
K061,0,
K062,1,
K063,0,
K064,1,
K065,1,
K066,1,states 12 with a caveat about which trip
K067,1,
K068,0,
K069,0,
K070,0,
K071,0,
K072,1,
K073,0,
K074,0,
K075,1,
K076,0,
K077,0,
K078,0,
K079,0,"guesses Carvana from context, does not state the fact"
K080,1,
K081,1,
K082,0,
K083,0,
K084,1,
K085,1,
K086,1,
K087,0,empty
K088,0,
K089,0,
K090,1,
K091,0,
K092,1,
K093,0,
K094,1,
K095,1,
K096,0,
K097,1,
K098,0,
K099,0,
K100,1,
K101,0,empty
K102,1,
K103,1,
K104,1,
K105,0,
K106,1,
K107,0,
K108,0,
K109,0,
K110,1,
K111,1,
K112,0,
K113,0,"partial: 'at least one', not three"
K114,0,
K115,0,
K116,1,
K117,0,
K118,1,
K119,0,
K120,1,
K121,0,"WRONG specific answer (Chill Vibes) - fabrication, not abstention"
K122,1,
K123,1,
K124,1,
K125,0,
