iter	name	score	outcome	ts
0	baseline	4.407407407407407	BASELINE	2026-04-26T23:17:26.042772
1	explicit_stop_after_failure	3.6666666666666665	-0.74	REVERT	2026-04-26T23:22:46.330057
2	explicit_minimal_search_rule	3.3333333333333335	-1.07	REVERT	2026-04-26T23:28:30.626987
4	explicit_minimal_search_rule_v2	3.333333333333334	-1.07	REVERT	2026-04-26T23:34:44.200899
5	explicit_minimal_search_rule_v3	3.8148148148148144	-0.59	REVERT	2026-04-26T23:45:08.979050
6	explicit_stop_after_minimal_search	3.62962962962963	-0.78	REVERT	2026-04-26T23:51:03.876935
7	explicit_minimal_search_rule_v4	3.4074074074074074	-1.00	REVERT	2026-04-26T23:58:03.004890
8	explicit_minimal_search_rule_v5	3.888888888888889	-0.52	REVERT	2026-04-27T00:06:54.746599
9	explicit_minimal_search_rule_v6	2.888888888888889	-1.52	REVERT	2026-04-27T00:17:02.846650
10	explicit_minimal_search_rule_v7	3.5555555555555554	-0.85	REVERT	2026-04-27T00:24:10.821878
11	explicit_web_search_limit	3.62962962962963	-0.78	REVERT	2026-04-27T00:30:11.089680
12	explicit_web_search_planning	3.7037037037037033	-0.70	REVERT	2026-04-27T00:36:27.056914
13	explicit_web_search_quota	2.4074074074074074	-2.00	REVERT	2026-04-27T00:42:44.509389
14	explicit_web_search_quota_v2	2.9999999999999996	-1.41	REVERT	2026-04-27T00:53:32.480063
16	explicit_web_search_quota_v3	3.3703703703703702	-1.04	REVERT	2026-04-27T01:04:30.572878
17	explicit_web_search_quota_v4	4.148148148148149	-0.26	REVERT	2026-04-27T01:11:12.355268
18	explicit_web_search_quota_v5	4.037037037037037	-0.37	REVERT	2026-04-27T01:20:42.906221
19	explicit_web_search_quota_v6	2.5925925925925926	-1.81	REVERT	2026-04-27T01:30:30.084377
20	explicit_web_search_quota_v7	3.185185185185185	-1.22	REVERT	2026-04-27T01:36:20.301876
21	explicit_minimal_search_rule_v8	2.888888888888889	-1.52	REVERT	2026-04-27T01:41:31.918155
23	explicit_minimal_search_rule_v9	3.259259259259259	-1.15	REVERT	2026-04-27T01:47:18.808824
24	explicit_minimal_search_rule_v10	2.777777777777778	-1.63	REVERT	2026-04-27T01:53:30.911735
25	explicit_minimal_search_rule_v11	2.814814814814815	-1.59	REVERT	2026-04-27T02:00:00.546843
26	explicit_minimal_search_rule_v12	3.296296296296296	-1.11	REVERT	2026-04-27T02:07:30.189946
27	explicit_web_search_quota_v13	3.0	-1.41	REVERT	2026-04-27T02:13:48.622875
28	explicit_minimal_search_rule_v13	3.5185185185185186	-0.89	REVERT	2026-04-27T02:20:04.868517
29	explicit_minimal_search_rule_v14	3.4814814814814814	-0.93	REVERT	2026-04-27T02:26:37.438275
31	explicit_web_search_limit_v14	4.0	-0.41	REVERT	2026-04-27T02:33:06.743611
32	explicit_web_search_limit_v15	3.62962962962963	-0.78	REVERT	2026-04-27T02:40:14.847587
33	explicit_web_search_quota_v16	2.3703703703703707	-2.04	REVERT	2026-04-27T02:47:30.032322
34	explicit_minimal_search_rule_v15	3.074074074074074	-1.33	REVERT	2026-04-27T02:57:37.113267
35	explicit_web_search_stop_v1	3.5555555555555554	-0.85	REVERT	2026-04-27T03:03:56.261180
36	explicit_web_search_stop_v2	2.777777777777778	-1.63	REVERT	2026-04-27T03:10:34.355724
37	explicit_web_search_once	3.481481481481482	-0.93	REVERT	2026-04-27T03:15:49.639787
38	explicit_web_search_once_v3	3.2592592592592595	-1.15	REVERT	2026-04-27T03:25:42.981706
39	explicit_minimal_search_stop_v1	3.703703703703704	-0.70	REVERT	2026-04-27T03:35:22.954433
40	explicit_web_search_once_v4	3.2592592592592595	-1.15	REVERT	2026-04-27T03:45:26.437733
41	explicit_web_search_once_v5	1.962962962962963	-2.44	REVERT	2026-04-27T03:51:38.166338
42	explicit_web_search_once_v6	3.2222222222222223	-1.19	REVERT	2026-04-27T04:02:52.327520
43	explicit_web_search_quota_v17	3.0370370370370368	-1.37	REVERT	2026-04-27T04:07:10.793149
44	explicit_minimal_search_stop_v2	2.592592592592593	-1.81	REVERT	2026-04-27T04:12:33.209190
45	explicit_minimal_search_stop_v3	3.481481481481482	-0.93	REVERT	2026-04-27T04:17:37.718806
46	explicit_web_search_once_v7	2.9259259259259256	-1.48	REVERT	2026-04-27T04:24:16.363666
47	explicit_web_search_quota_v18	2.740740740740741	-1.67	REVERT	2026-04-27T04:31:36.155347
48	explicit_minimal_search_stop_v4	3.0740740740740744	-1.33	REVERT	2026-04-27T04:38:39.298308
49	explicit_minimal_search_stop_v5	2.9259259259259256	-1.48	REVERT	2026-04-27T04:48:40.774837
50	explicit_minimal_search_stop_v6	3.518518518518518	-0.89	REVERT	2026-04-27T04:53:55.308917
51	explicit_web_search_once_v8	3.6296296296296293	-0.78	REVERT	2026-04-27T05:00:12.536594
52	explicit_web_search_plan_once	3.407407407407407	-1.00	REVERT	2026-04-27T05:06:06.390198
53	explicit_web_search_plan_once_v2	2.5925925925925926	-1.81	REVERT	2026-04-27T05:12:16.097083
54	explicit_minimal_search_stop_v7	2.111111111111111	-2.30	REVERT	2026-04-27T05:27:56.379971
55	explicit_web_search_once_v9	2.3333333333333335	-2.07	REVERT	2026-04-27T05:34:48.101452
56	explicit_web_search_quota_v19	2.0370370370370368	-2.37	REVERT	2026-04-27T05:41:20.675662
57	explicit_web_search_quota_v20	1.6296296296296298	-2.78	REVERT	2026-04-27T05:47:46.650970
58	explicit_web_search_once_v10	1.6296296296296295	-2.78	REVERT	2026-04-27T05:53:47.810587
59	explicit_minimal_search_stop_v8	1.8148148148148147	-2.59	REVERT	2026-04-27T05:59:49.920306
60	explicit_minimal_search_stop_v9	2.4814814814814814	-1.93	REVERT	2026-04-27T06:07:30.268913
