run,test_id,expected,score_exact,searched,keywords,archive_hit,answer_session_returned,answer_session_start_from_end,in_window,n_requests,max_msgs
terra_control,lme_0000,Business Administration,1.0,0,,0,0,24,1,1,102
terra_control,lme_0001,45 minutes each way,0.0,1,commute,0,0,405,0,2,107
terra_control,lme_0002,Target,1.0,0,,0,0,89,1,1,102
terra_control,lme_0003,The Glass Menagerie,0.0,1,community theater,0,0,297,0,2,109
terra_control,lme_0004,Summer Vibes,0.0,1,playlist,0,0,383,0,2,108
terra_control,lme_0005,Johnson,1.0,1,last name,0,0,88,1,2,107
terra_control,lme_0006,Serenity Yoga,1.0,1,Serenity Yoga,0,0,12,1,3,109
terra_control,lme_0007,a lighter shade of gray,1.0,1,repainted bedroom walls,0,0,97,1,2,107
terra_control,lme_0008,February 14th,0.5,1,fundraising dinner,0,0,12,1,2,109
terra_control,lme_0009,the sports store downtown,0.0,1,tennis racket,0,0,221,0,3,109
terra_control,lme_0010,Marketing specialist at a small startup,0.0,0,,0,0,269,0,2,104
terra_control,lme_0011,$800,0.0,0,,0,0,325,0,1,102
terra_control,lme_0012,20,0.0,0,,0,0,468,0,1,102
terra_control,lme_0013,University of Melbourne in Australia,0.0,0,,0,0,248,0,1,102
terra_control,lme_0014,10%,1.0,1,first purchase discount|discount,0,0,388,0,3,109
terra_control,lme_0015,4 hours,1.0,0,,0,0,36,1,1,102
terra_control,lme_0016,a yellow dress,0.0,0,,0,0,344,0,1,102
terra_control,lme_0017,500 Mbps,0.0,1,internet,0,0,295,0,2,108
terra_control,lme_0018,7,1.0,1,Costa Rica,0,0,56,1,2,108
terra_control,lme_0019,A staunch atheist,0.0,1,spirituality,0,0,323,0,3,112
terra_control,lme_0020,Nike,1.0,0,,0,0,70,1,1,102
terra_control,lme_0021,Data Science,1.0,0,,0,0,85,1,1,102
terra_control,lme_0022,three,0.0,1,bike,0,0,160,0,2,108
terra_control,lme_0023,Golden Retriever,0.0,1,dog,0,0,255,0,3,110
terra_control,lme_0024,12,0.0,0,,0,0,442,0,1,102
terra_archive,lme_0000,Business Administration,1.0,1,graduated degree,1,1,24,1,3,109
terra_archive,lme_0001,45 minutes each way,0.0,1,commute|daily commute takes,1,1,405,0,3,110
terra_archive,lme_0002,Target,1.0,1,$5 coupon coffee creamer,0,0,89,1,2,108
terra_archive,lme_0003,The Glass Menagerie,0.0,1,community theater,1,1,297,0,3,110
terra_archive,lme_0004,Summer Vibes,0.5,1,playlist,1,1,383,0,2,107
terra_archive,lme_0005,Johnson,1.0,1,last name name change Johnson Winters,1,1,88,1,2,107
terra_archive,lme_0006,Serenity Yoga,1.0,1,yoga,1,1,12,1,2,108
terra_archive,lme_0007,a lighter shade of gray,1.0,1,repainted bedroom walls,1,1,97,1,2,107
terra_archive,lme_0008,February 14th,0.5,1,Love is in the Air fundraising dinner,1,1,12,1,3,110
terra_archive,lme_0009,the sports store downtown,0.0,1,tennis racket,1,1,221,0,2,107
terra_archive,lme_0010,Marketing specialist at a small startup,0.0,1,occupation,1,0,269,0,2,108
terra_archive,lme_0011,$800,0.0,0,,0,0,325,0,1,102
terra_archive,lme_0012,20,1.0,1,Spotify playlists,1,1,468,0,3,108
terra_archive,lme_0013,University of Melbourne in Australia,0.0,0,,0,0,248,0,1,102
terra_archive,lme_0014,10%,0.0,0,,0,0,388,0,1,102
terra_archive,lme_0015,4 hours,1.0,1,IKEA bookshelf,1,1,36,1,2,107
terra_archive,lme_0016,a yellow dress,0.0,0,,0,0,344,0,1,102
terra_archive,lme_0017,500 Mbps,1.0,1,internet,1,1,295,0,2,108
terra_archive,lme_0018,7,1.0,0,,0,0,56,1,1,102
terra_archive,lme_0019,A staunch atheist,0.0,0,,0,0,323,0,1,102
terra_archive,lme_0020,Nike,1.0,0,,0,0,70,1,1,102
terra_archive,lme_0021,Data Science,1.0,1,certification,1,1,85,1,2,108
terra_archive,lme_0022,three,0.0,1,bike,1,1,160,0,3,110
terra_archive,lme_0023,Golden Retriever,0.0,1,dog,1,1,255,0,2,107
terra_archive,lme_0024,12,0.0,1,largemouth bass,1,1,442,0,2,109
sonnet_archive,lme_0000,Business Administration,1.0,0,,0,0,24,1,1,102
sonnet_archive,lme_0001,45 minutes each way,0.0,0,,0,0,405,0,1,102
sonnet_archive,lme_0002,Target,0.0,0,,0,0,89,1,1,102
sonnet_archive,lme_0003,The Glass Menagerie,0.0,0,,0,0,297,0,1,102
sonnet_archive,lme_0004,Summer Vibes,0.0,0,,0,0,383,0,1,102
sonnet_archive,lme_0005,Johnson,1.0,0,,0,0,88,1,1,102
sonnet_archive,lme_0006,Serenity Yoga,1.0,0,,0,0,12,1,1,102
sonnet_archive,lme_0007,a lighter shade of gray,1.0,0,,0,0,97,1,1,102
sonnet_archive,lme_0008,February 14th,0.5,0,,0,0,12,1,1,102
sonnet_archive,lme_0009,the sports store downtown,0.0,0,,0,0,221,0,1,102
sonnet_archive,lme_0010,Marketing specialist at a small startup,0.0,0,,0,0,269,0,1,102
sonnet_archive,lme_0011,$800,0.0,0,,0,0,325,0,1,102
sonnet_archive,lme_0012,20,0.0,0,,0,0,468,0,1,102
sonnet_archive,lme_0013,University of Melbourne in Australia,0.0,0,,0,0,248,0,1,102
sonnet_archive,lme_0014,10%,1.0,0,,0,0,388,0,1,102
sonnet_archive,lme_0015,4 hours,1.0,0,,0,0,36,1,1,102
sonnet_archive,lme_0016,a yellow dress,0.0,0,,0,0,344,0,1,102
sonnet_archive,lme_0017,500 Mbps,0.0,0,,0,0,295,0,1,102
sonnet_archive,lme_0018,7,1.0,0,,0,0,56,1,1,102
sonnet_archive,lme_0019,A staunch atheist,0.0,0,,0,0,323,0,1,102
sonnet_archive,lme_0020,Nike,1.0,0,,0,0,70,1,1,102
sonnet_archive,lme_0021,Data Science,1.0,0,,0,0,85,1,1,102
sonnet_archive,lme_0022,three,0.0,0,,0,0,160,0,1,102
sonnet_archive,lme_0023,Golden Retriever,0.0,0,,0,0,255,0,1,102
sonnet_archive,lme_0024,12,0.0,0,,0,0,442,0,1,102
opus_archive,lme_0000,Business Administration,1.0,0,,0,0,24,1,1,102
opus_archive,lme_0001,45 minutes each way,1.0,1,"commute|work schedule|daily commute, which takes|audiobook|45 minutes|minute commute",1,1,405,0,10,120
opus_archive,lme_0002,Target,1.0,0,,0,0,89,1,1,102
opus_archive,lme_0003,The Glass Menagerie,0.0,0,,0,0,297,0,1,102
