item,run,test_id,dino_blind,claude_blind,luna_blind,grok_blind,majority,unanimous
K001,terra_archive,lme_0013,0,0,0,0,0,1
K002,terra_control,lme_0021,1,1,1,1,1,1
K003,sonnet_archive,lme_0012,1,0,0,0,0,0
K004,terra_control,lme_0010,0,0,0,0,0,1
K005,opus_archive,lme_0012,0,0,0,0,0,1
K006,terra_archive,lme_0021,1,1,1,1,1,1
K007,sonnet_archive_repeat,lme_0017,0,0,0,0,0,1
K008,terra_control,lme_0018,1,1,1,1,1,1
K009,terra_control,lme_0000,1,1,1,1,1,1
K010,sonnet_archive,lme_0000,1,1,1,1,1,1
K011,opus_archive,lme_0022,0,0,0,0,0,1
K012,sonnet_archive_repeat,lme_0012,0,0,0,0,0,1
K013,sonnet_archive_repeat,lme_0006,1,1,1,1,1,1
K014,opus_archive,lme_0009,1,1,1,1,1,1
K015,sonnet_archive,lme_0009,0,0,0,0,0,1
K016,terra_archive,lme_0001,0,0,0,0,0,1
K017,sonnet_archive_repeat,lme_0024,0,0,0,0,0,1
K018,opus_archive,lme_0011,1,1,1,1,1,1
K019,terra_control,lme_0012,0,0,0,0,0,1
K020,terra_archive,lme_0011,0,0,0,0,0,1
K021,sonnet_archive,lme_0010,0,0,0,0,0,1
K022,sonnet_archive_repeat,lme_0001,0,0,0,0,0,1
K023,sonnet_archive,lme_0015,1,1,1,1,1,1
K024,terra_archive,lme_0015,1,1,1,1,1,1
K025,sonnet_archive_repeat,lme_0019,0,0,0,0,0,1
K026,opus_archive,lme_0019,1,1,1,1,1,1
K027,opus_archive,lme_0007,1,1,1,1,1,1
K028,terra_archive,lme_0009,0,0,0,0,0,1
K029,sonnet_archive_repeat,lme_0009,0,0,0,0,0,1
K030,terra_archive,lme_0024,0,0,0,0,0,1
K031,sonnet_archive_repeat,lme_0011,0,0,0,0,0,1
K032,sonnet_archive_repeat,lme_0014,0,0,0,0,0,1
K033,opus_archive,lme_0021,1,1,1,1,1,1
K034,opus_archive,lme_0006,1,1,1,1,1,1
K035,terra_archive,lme_0008,1,1,1,1,1,1
K036,sonnet_archive_repeat,lme_0010,0,0,0,0,0,1
K037,sonnet_archive,lme_0003,0,0,0,0,0,1
K038,sonnet_archive_repeat,lme_0000,1,1,1,1,1,1
K039,sonnet_archive,lme_0005,1,1,1,1,1,1
K040,terra_archive,lme_0012,1,1,1,1,1,1
K041,opus_archive,lme_0018,1,1,1,1,1,1
K042,terra_control,lme_0007,1,1,1,1,1,1
K043,sonnet_archive_repeat,lme_0015,1,1,1,1,1,1
K044,sonnet_archive_repeat,lme_0018,1,1,1,1,1,1
K045,terra_control,lme_0008,1,1,1,1,1,1
K046,sonnet_archive_repeat,lme_0002,0,0,0,0,0,1
K047,opus_archive,lme_0008,1,1,1,1,1,1
K048,sonnet_archive,lme_0008,1,1,1,1,1,1
K049,terra_archive,lme_0017,1,1,1,1,1,1
K050,terra_archive,lme_0002,1,1,1,1,1,1
K051,sonnet_archive,lme_0016,0,0,0,0,0,1
K052,terra_control,lme_0017,0,0,0,0,0,1
K053,sonnet_archive_repeat,lme_0013,0,0,0,0,0,1
K054,sonnet_archive,lme_0022,0,0,0,0,0,1
K055,sonnet_archive_repeat,lme_0020,1,1,1,1,1,1
K056,opus_archive,lme_0002,0,1,1,1,1,0
K057,opus_archive,lme_0004,0,0,0,0,0,1
K058,terra_archive,lme_0010,0,0,0,0,0,1
K059,sonnet_archive_repeat,lme_0022,0,0,0,0,0,1
K060,sonnet_archive,lme_0023,0,0,0,0,0,1
K061,sonnet_archive_repeat,lme_0016,0,0,0,0,0,1
K062,sonnet_archive,lme_0006,1,1,1,1,1,1
K063,sonnet_archive_repeat,lme_0023,0,0,0,0,0,1
K064,opus_archive,lme_0015,1,1,1,1,1,1
K065,sonnet_archive_repeat,lme_0005,1,1,1,1,1,1
K066,opus_archive,lme_0024,1,1,1,1,1,1
K067,sonnet_archive,lme_0018,1,1,1,1,1,1
K068,sonnet_archive,lme_0001,0,0,0,0,0,1
K069,terra_control,lme_0019,0,0,0,0,0,1
K070,terra_control,lme_0013,0,0,0,0,0,1
K071,sonnet_archive_repeat,lme_0004,0,0,0,0,0,1
K072,sonnet_archive_repeat,lme_0021,1,1,1,1,1,1
K073,sonnet_archive,lme_0011,0,0,0,0,0,1
K074,terra_archive,lme_0023,0,0,0,0,0,1
K075,sonnet_archive,lme_0021,1,1,1,1,1,1
K076,terra_control,lme_0022,0,0,0,0,0,1
K077,terra_control,lme_0011,0,0,0,0,0,1
K078,terra_control,lme_0003,0,0,0,0,0,1
K079,opus_archive,lme_0010,0,0,0,0,0,1
K080,sonnet_archive,lme_0020,1,1,1,1,1,1
K081,terra_archive,lme_0020,1,1,1,1,1,1
K082,sonnet_archive,lme_0004,0,0,0,0,0,1
K083,terra_control,lme_0001,0,0,0,0,0,1
K084,terra_archive,lme_0018,1,1,1,1,1,1
K085,terra_archive,lme_0005,1,1,1,1,1,1
K086,terra_archive,lme_0007,1,1,1,1,1,1
K087,terra_archive,lme_0019,0,0,0,0,0,1
K088,terra_archive,lme_0016,0,0,0,0,0,1
K089,sonnet_archive,lme_0017,0,0,0,0,0,1
K090,terra_control,lme_0015,1,1,1,1,1,1
K091,terra_control,lme_0024,0,0,0,0,0,1
K092,terra_control,lme_0020,1,1,1,1,1,1
K093,sonnet_archive_repeat,lme_0003,0,0,0,0,0,1
K094,sonnet_archive,lme_0007,1,1,1,1,1,1
K095,opus_archive,lme_0001,1,1,1,1,1,1
K096,sonnet_archive,lme_0024,0,0,0,0,0,1
K097,terra_archive,lme_0000,1,1,1,1,1,1
K098,opus_archive,lme_0003,0,0,0,0,0,1
K099,sonnet_archive,lme_0019,0,0,0,0,0,1
K100,opus_archive,lme_0016,1,1,1,1,1,1
K101,terra_archive,lme_0014,0,0,0,0,0,1
K102,opus_archive,lme_0017,1,1,1,1,1,1
K103,terra_control,lme_0006,1,1,1,1,1,1
K104,opus_archive,lme_0014,1,1,1,1,1,1
K105,sonnet_archive,lme_0002,0,0,0,0,0,1
K106,opus_archive,lme_0020,1,1,1,1,1,1
K107,opus_archive,lme_0013,0,0,0,0,0,1
K108,terra_control,lme_0016,0,0,0,0,0,1
K109,terra_archive,lme_0003,0,0,0,0,0,1
K110,terra_archive,lme_0006,1,1,1,1,1,1
K111,opus_archive,lme_0023,1,1,1,1,1,1
K112,sonnet_archive,lme_0013,0,0,0,0,0,1
K113,terra_archive,lme_0022,0,0,0,0,0,1
K114,terra_control,lme_0014,0,0,0,0,0,1
K115,terra_control,lme_0004,0,0,0,0,0,1
K116,opus_archive,lme_0005,1,1,1,1,1,1
K117,terra_control,lme_0023,0,0,0,0,0,1
K118,sonnet_archive_repeat,lme_0007,1,1,1,1,1,1
K119,sonnet_archive,lme_0014,0,0,0,0,0,1
K120,sonnet_archive_repeat,lme_0008,1,1,1,0,1,0
K121,terra_archive,lme_0004,0,0,0,0,0,1
K122,opus_archive,lme_0000,1,1,1,1,1,1
K123,terra_control,lme_0002,1,1,1,1,1,1
K124,terra_control,lme_0005,1,1,1,1,1,1
K125,terra_control,lme_0009,0,0,0,0,0,1
