item,test_id,reader,score_exact,dino_hand,claude_blind,gpt56luna_blind,grok_blind,majority,unanimous,note
J01,lme_0022,terra,0.0,0,0,0,0,0,1,
J02,lme_0003,terra,0.0,0,0,0,0,0,1,
J03,lme_0024,terra,0.0,0,0,0,0,0,1,
J04,lme_0024,sonnet,0.0,0,0,0,0,0,1,
J05,lme_0006,terra,1.0,1,1,1,1,1,1,
J06,lme_0016,opus,0.0,0,0,0,0,0,1,
J07,lme_0022,sonnet,0.0,0,0,0,0,0,1,
J08,lme_0006,opus,1.0,1,1,1,1,1,1,
J09,lme_0017,opus,0.0,0,0,0,0,0,1,
J10,lme_0002,terra,1.0,1,1,1,1,1,1,
J11,lme_0023,terra,0.0,0,0,0,0,0,1,
J12,lme_0019,terra,0.0,0,0,0,0,0,1,
J13,lme_0008,opus,0.5,1,1,1,1,1,1,
J14,lme_0019,opus,0.0,0,0,0,0,0,1,
J15,lme_0008,terra,0.5,1,1,1,1,1,1,
J16,lme_0021,sonnet,1.0,1,1,1,1,1,1,
J17,lme_0020,sonnet,1.0,1,1,1,1,1,1,
J18,lme_0022,opus,0.0,0,0,0,0,0,1,
J19,lme_0002,opus,1.0,1,1,1,1,1,1,hedged: 'Probably at Target' - states the fact with a qualifier
J20,lme_0009,opus,0.5,0,0,0,0,0,1,
J21,lme_0000,sonnet,1.0,1,1,1,1,1,1,
J22,lme_0017,terra,0.0,0,0,0,0,0,1,
J23,lme_0024,opus,0.0,0,0,0,0,0,1,
J24,lme_0020,opus,1.0,1,1,1,1,1,1,
J25,lme_0010,sonnet,0.0,0,0,0,0,0,1,
J26,lme_0011,terra,0.0,0,0,0,0,0,1,
J27,lme_0013,terra,0.0,0,0,0,0,0,1,
J28,lme_0015,sonnet,1.0,1,1,1,1,1,1,
J29,lme_0010,opus,0.0,0,0,0,0,0,1,
J30,lme_0009,sonnet,0.5,0,0,0,0,0,1,
J31,lme_0007,opus,1.0,1,1,1,1,1,1,
J32,lme_0009,terra,0.0,0,0,0,0,0,1,empty prediction
J33,lme_0018,opus,1.0,1,1,1,1,1,1,
J34,lme_0018,terra,1.0,1,1,1,1,1,1,
J35,lme_0005,terra,1.0,1,1,1,1,1,1,
J36,lme_0004,terra,0.0,0,0,0,0,0,1,empty prediction
J37,lme_0014,opus,1.0,0,0,0,0,0,1,mentions 10% but as a Target coupon and says the asked-for discount is unknown - miss
J38,lme_0003,sonnet,0.0,0,0,0,0,0,1,
J39,lme_0006,sonnet,1.0,1,1,1,1,1,1,
J40,lme_0002,sonnet,1.0,1,1,1,1,1,1,"hedged: 'Target, most likely' - states the fact with a qualifier"
J41,lme_0016,sonnet,0.0,0,0,0,0,0,1,
J42,lme_0004,opus,0.0,0,0,0,0,0,1,
J43,lme_0023,sonnet,0.0,0,0,0,0,0,1,
J44,lme_0020,terra,1.0,1,1,1,1,1,1,
J45,lme_0001,sonnet,0.0,0,0,0,0,0,1,
J46,lme_0011,sonnet,0.0,0,0,0,0,0,1,
J47,lme_0023,opus,0.0,0,0,0,0,0,1,
J48,lme_0007,sonnet,1.0,1,1,1,1,1,1,
J49,lme_0012,terra,0.0,0,0,0,0,0,1,
J50,lme_0007,terra,0.0,0,0,0,0,0,1,empty prediction
J51,lme_0011,opus,0.0,0,0,0,0,0,1,
J52,lme_0001,opus,0.0,0,0,0,0,0,1,
J53,lme_0013,opus,0.0,0,0,0,0,0,1,
J54,lme_0004,sonnet,0.0,0,0,0,0,0,1,
J55,lme_0014,terra,0.0,0,0,0,0,0,1,
J56,lme_0019,sonnet,0.0,0,0,0,0,0,1,
J57,lme_0018,sonnet,1.0,1,1,1,1,1,1,
J58,lme_0013,sonnet,0.0,0,0,0,0,0,1,
J59,lme_0014,sonnet,1.0,0,0,0,0,0,1,same as J37 - miss
J60,lme_0021,opus,1.0,1,1,1,1,1,1,
J61,lme_0021,terra,1.0,1,1,1,1,1,1,
J62,lme_0000,terra,1.0,1,1,1,1,1,1,
J63,lme_0003,opus,0.0,0,0,0,0,0,1,
J64,lme_0012,sonnet,0.0,0,0,0,0,0,1,
J65,lme_0001,terra,0.0,0,0,0,0,0,1,
J66,lme_0008,sonnet,1.0,1,1,1,1,1,1,
J67,lme_0010,terra,0.0,0,0,0,0,0,1,
J68,lme_0000,opus,1.0,1,1,1,1,1,1,
J69,lme_0012,opus,0.0,0,0,0,0,0,1,
J70,lme_0005,sonnet,1.0,1,1,1,1,1,1,
J71,lme_0005,opus,1.0,1,1,1,1,1,1,
J72,lme_0015,terra,1.0,1,1,1,1,1,1,
J73,lme_0015,opus,1.0,1,1,1,1,1,1,
J74,lme_0016,terra,0.0,0,0,0,0,0,1,
J75,lme_0017,sonnet,0.5,0,0,0,0,0,1,
