item,question,expected,predicted
J01,How many bikes do I own?,three,I don’t have any record of how many bikes you own.
J02,What play did I attend at the local community theater?,The Glass Menagerie,I don’t have a record of which play you attended at the local community theater.
J03,How many largemouth bass did I catch on my fishing trip to Lake Michigan?,12,I don’t have a record of that fishing trip or how many largemouth bass you caught.
J04,How many largemouth bass did I catch on my fishing trip to Lake Michigan?,12,"I don't know. You haven't told me about a Lake Michigan fishing trip in this conversation, and I checked my memory for ""largemouth bass"" and ""Lake Michigan"" and found nothing.

If you tell me the number, I can keep track of it. If it's in a photo, a note, or a message to someone, I can look there if you tell me where."
J05,Where do I take yoga classes?,Serenity Yoga,"You take yoga classes at Serenity Yoga, and you also practice at home using Down Dog—usually vinyasa flow classes."
J06,What did I buy for my sister's birthday gift?,a yellow dress,"You never told me what you got your sister for her birthday, so I don't know. Nothing in our conversations mentions it.

These are the purchases you did mention:
- **Lenovo laptop bag:** black, padded for a 15.6"" laptop, about $40 from Amazon on March 15th. That one was for you.
- **Wireless gaming mouse:** you were thinking about one on Newegg for $60.
- **Western Digital portable hard drive:** you were considering a 1TB one from Best Buy for $100.

If one of those was actually her gift, or you bought her something else, tell me and I'll remember it."
J07,How many bikes do I own?,three,"I don't know. Nothing in this conversation mentions bikes. You've talked about herb gardens, painting, coffee, TV shows, meal prep and writing a play, but never a bike. My memory has no entry for ""bike"" or ""bicycle"" either.

If you tell me how many you have, I'll keep it in mind."
J08,Where do I take yoga classes?,Serenity Yoga,"At Serenity Yoga. On days you can't make it to the studio, you practice at home with the Down Dog app, usually doing vinyasa flow."
J09,What speed is my new internet plan?,500 Mbps,"You haven't told me what speed your new internet plan is. We've talked about your yoga mat, the night photography workshop, meal prep and food delivery, your commute, and writing headlines, but you never mentioned an internet plan. What speed is it?"
J10,Where did I redeem a $5 coupon on coffee creamer?,Target,"You redeemed it at Target, using the Cartwheel app."
J11,What breed is my dog?,Golden Retriever,"I don’t have any information or a photo of your dog, so I can’t tell its breed yet. If you send a clear photo—ideally showing its face and full body—or describe its size, coat, ears, muzzle, tail, and coloring, I can help narrow it down."
J12,What was my previous stance on spirituality?,A staunch atheist,"I don’t have a recorded prior stance from you on spirituality. In the conversation context I can see, you discussed truth versus belief, but not your own spiritual views specifically."
J13,When did I volunteer at the local animal shelter's fundraising dinner?,February 14th,"You volunteered at the ""Love is in the Air"" fundraising dinner on Valentine's Day, February 14, 2023. That was about six weeks ago.

You never actually said it was an animal shelter's event, only that it was a fundraising dinner you volunteered at. It's the only one you've mentioned, so I'm assuming it's the one you mean."
J14,What was my previous stance on spirituality?,A staunch atheist,"You haven't told me anything about spirituality in what we've talked about, so I don't have a previous stance on record.

The nearest thing was on May 30th, when you asked how to tell truth from belief. You pushed back a few times. You asked whether you could just believe whatever you want, whether you could trust what your friends and family believe, and whether people could agree to disagree and move on. That was about belief and fact-checking in general. It wasn't about spirituality, so I don't want to count it as your view on that.

If you've talked about spirituality somewhere else, tell me what you said and I'll keep it in mind."
J15,When did I volunteer at the local animal shelter's fundraising dinner?,February 14th,"You volunteered at the “Love is in the Air” fundraising dinner on Valentine’s Day — February 14, 2023."
J16,What certification did I complete last month?,Data Science,"You completed a certification in Data Science. You mentioned it while updating your LinkedIn profile and said you finished it ""last month,"" which would be April 2023. You didn't say which organization issued it, so I don't know that part."
J17,What brand are my favorite running shoes?,Nike,"Nike. You said it's been your favorite brand for running shoes, and your current pair is a Nike that you use for your daily 5Ks. You bought them at the outlet mall in April, 20% off.

You never told me the exact model, so I couldn't point you to a replacement. If you check the tongue or insole, I can help you find that model or a close match."
J18,How many bikes do I own?,three,"I don't know how many bikes you own. Bikes never came up in this conversation. We talked about your herb garden, the spice cabinet cleanout, your coffee experiments, plein-air painting, your TV schedule, meal prep, and voice warm-ups for your performance, but not bikes. I also searched my memory for ""bike"" and ""bicycle"" and found nothing.

If you tell me how many you have, I'll remember it."
J19,Where did I redeem a $5 coupon on coffee creamer?,Target,"Probably at Target. You mentioned redeeming the $5 coffee creamer coupon last Sunday (May 28) while we were talking about Target's Cartwheel app, and you said you shop there every other week. You never actually named the store, though. You only said the coupon had been sitting in your email inbox without you knowing."
J20,Where did I buy my new tennis racket from?,the sports store downtown,"I don't know. You haven't told me where you bought the new racket. Tennis only comes up once in what I have: an earlier reply about practicing serves and volleys between lessons. Nothing mentions buying a racket or a store, and my memory has nothing under ""tennis racket"" either.

If you tell me where you got it, I'll remember it."
J21,What degree did I graduate with?,Business Administration,"You said you graduated with a degree in Business Administration, and that it's helped you in your new role."
J22,What speed is my new internet plan?,500 Mbps,"I don’t have the speed of your new internet plan in the information I can access. If you share the plan name or provider details, I can help interpret it."
J23,How many largemouth bass did I catch on my fishing trip to Lake Michigan?,12,"I can't tell you that. You haven't mentioned a Lake Michigan fishing trip in anything we've talked about, and my memory has nothing about bass or fishing. Earlier we covered robocopy backups, phone screen-time apps, Max's flea meds and dog food, spin playlists, tennis with Rachel, your dad's side of the family, and affordable housing. Fishing never came up.

If you tell me how the trip went and how many you caught, I'll save it."
J24,What brand are my favorite running shoes?,Nike,"Nike. You said it's been your favorite brand for running shoes, and you've been wearing Nikes for your daily 5K runs. You bought your current pair at the outlet mall in April for 20% off."
J25,What was my previous occupation?,Marketing specialist at a small startup,"I can't tell from this conversation, and I don't have anything in memory on it either.

You've mentioned a few things. You showcased an AI-powered project management tool at a Tech Expo, and you're selling Upcycled Home Decor at the Artisan's Fair. You also asked about a Sydney real estate business and about Carvana's title and registration process. None of those says what you used to do for work. Some of them look like separate scenarios or role-play prompts, so I'd be guessing if I treated any of them as your past job.

If you tell me your previous occupation, I'll use it. Or tell me which of those threads you had in mind and I'll work from that."
J26,How much did I spend on a designer handbag?,$800,I don't have any information about a designer handbag purchase or its cost from our conversation.
