item,run,test_id
K001,terra_archive,lme_0013
K002,terra_control,lme_0021
K003,sonnet_archive,lme_0012
K004,terra_control,lme_0010
K005,opus_archive,lme_0012
K006,terra_archive,lme_0021
K007,sonnet_archive_repeat,lme_0017
K008,terra_control,lme_0018
K009,terra_control,lme_0000
K010,sonnet_archive,lme_0000
K011,opus_archive,lme_0022
K012,sonnet_archive_repeat,lme_0012
K013,sonnet_archive_repeat,lme_0006
K014,opus_archive,lme_0009
K015,sonnet_archive,lme_0009
K016,terra_archive,lme_0001
K017,sonnet_archive_repeat,lme_0024
K018,opus_archive,lme_0011
K019,terra_control,lme_0012
K020,terra_archive,lme_0011
K021,sonnet_archive,lme_0010
K022,sonnet_archive_repeat,lme_0001
K023,sonnet_archive,lme_0015
K024,terra_archive,lme_0015
K025,sonnet_archive_repeat,lme_0019
K026,opus_archive,lme_0019
K027,opus_archive,lme_0007
K028,terra_archive,lme_0009
K029,sonnet_archive_repeat,lme_0009
K030,terra_archive,lme_0024
K031,sonnet_archive_repeat,lme_0011
K032,sonnet_archive_repeat,lme_0014
K033,opus_archive,lme_0021
K034,opus_archive,lme_0006
K035,terra_archive,lme_0008
K036,sonnet_archive_repeat,lme_0010
K037,sonnet_archive,lme_0003
K038,sonnet_archive_repeat,lme_0000
K039,sonnet_archive,lme_0005
K040,terra_archive,lme_0012
K041,opus_archive,lme_0018
K042,terra_control,lme_0007
K043,sonnet_archive_repeat,lme_0015
K044,sonnet_archive_repeat,lme_0018
K045,terra_control,lme_0008
K046,sonnet_archive_repeat,lme_0002
K047,opus_archive,lme_0008
K048,sonnet_archive,lme_0008
K049,terra_archive,lme_0017
K050,terra_archive,lme_0002
K051,sonnet_archive,lme_0016
K052,terra_control,lme_0017
K053,sonnet_archive_repeat,lme_0013
K054,sonnet_archive,lme_0022
K055,sonnet_archive_repeat,lme_0020
K056,opus_archive,lme_0002
K057,opus_archive,lme_0004
K058,terra_archive,lme_0010
K059,sonnet_archive_repeat,lme_0022
K060,sonnet_archive,lme_0023
K061,sonnet_archive_repeat,lme_0016
K062,sonnet_archive,lme_0006
K063,sonnet_archive_repeat,lme_0023
K064,opus_archive,lme_0015
K065,sonnet_archive_repeat,lme_0005
K066,opus_archive,lme_0024
K067,sonnet_archive,lme_0018
K068,sonnet_archive,lme_0001
K069,terra_control,lme_0019
K070,terra_control,lme_0013
K071,sonnet_archive_repeat,lme_0004
K072,sonnet_archive_repeat,lme_0021
K073,sonnet_archive,lme_0011
K074,terra_archive,lme_0023
K075,sonnet_archive,lme_0021
K076,terra_control,lme_0022
K077,terra_control,lme_0011
K078,terra_control,lme_0003
K079,opus_archive,lme_0010
K080,sonnet_archive,lme_0020
K081,terra_archive,lme_0020
K082,sonnet_archive,lme_0004
K083,terra_control,lme_0001
K084,terra_archive,lme_0018
K085,terra_archive,lme_0005
K086,terra_archive,lme_0007
K087,terra_archive,lme_0019
K088,terra_archive,lme_0016
K089,sonnet_archive,lme_0017
K090,terra_control,lme_0015
K091,terra_control,lme_0024
K092,terra_control,lme_0020
K093,sonnet_archive_repeat,lme_0003
K094,sonnet_archive,lme_0007
K095,opus_archive,lme_0001
K096,sonnet_archive,lme_0024
K097,terra_archive,lme_0000
K098,opus_archive,lme_0003
K099,sonnet_archive,lme_0019
K100,opus_archive,lme_0016
K101,terra_archive,lme_0014
K102,opus_archive,lme_0017
K103,terra_control,lme_0006
K104,opus_archive,lme_0014
K105,sonnet_archive,lme_0002
K106,opus_archive,lme_0020
K107,opus_archive,lme_0013
K108,terra_control,lme_0016
K109,terra_archive,lme_0003
K110,terra_archive,lme_0006
K111,opus_archive,lme_0023
K112,sonnet_archive,lme_0013
K113,terra_archive,lme_0022
K114,terra_control,lme_0014
K115,terra_control,lme_0004
K116,opus_archive,lme_0005
K117,terra_control,lme_0023
K118,sonnet_archive_repeat,lme_0007
K119,sonnet_archive,lme_0014
K120,sonnet_archive_repeat,lme_0008
K121,terra_archive,lme_0004
K122,opus_archive,lme_0000
K123,terra_control,lme_0002
K124,terra_control,lme_0005
K125,terra_control,lme_0009
