item,correct,note
J01,0,
J02,0,
J03,0,
J04,0,
J05,1,
J06,0,
J07,0,
J08,1,
J09,0,
J10,1,
J11,0,
J12,0,
J13,1,
J14,0,
J15,1,
J16,1,
J17,1,
J18,0,
J19,1,hedged: 'Probably at Target' - states the fact with a qualifier
J20,0,
J21,1,
J22,0,
J23,0,
J24,1,
J25,0,
J26,0,
J27,0,
J28,1,
J29,0,
J30,0,
J31,1,
J32,0,empty prediction
J33,1,
J34,1,
J35,1,
J36,0,empty prediction
J37,0,mentions 10% but as a Target coupon and says the asked-for discount is unknown - miss
J38,0,
J39,1,
J40,1,"hedged: 'Target, most likely' - states the fact with a qualifier"
J41,0,
J42,0,
J43,0,
J44,1,
J45,0,
J46,0,
J47,0,
J48,1,
J49,0,
J50,0,empty prediction
J51,0,
J52,0,
J53,0,
J54,0,
J55,0,
J56,0,
J57,1,
J58,0,
J59,0,same as J37 - miss
J60,1,
J61,1,
J62,1,
J63,0,
J64,0,
J65,0,
J66,1,
J67,0,
J68,1,
J69,0,
J70,1,
J71,1,
J72,1,
J73,1,
J74,0,
J75,0,
