test_id,question_id,sessions,injected_turns,answer_session_index,answer_session_turns,turns_after_answer_session,answer_session_start_from_end,any_reader_correct
lme_0000,e47becba,53,550,51,12,12,24,1
lme_0001,118b2229,45,485,7,12,393,405,0
lme_0002,51a45a95,50,529,42,12,77,89,1
lme_0003,58bf7951,57,616,29,12,285,297,0
lme_0004,1e043500,50,510,13,12,371,383,0
lme_0005,c5e8278d,44,469,36,12,76,88,1
lme_0006,6ade9755,51,513,50,12,0,12,1
lme_0007,6f9b354f,50,500,37,10,87,97,1
lme_0008,58ef2f1c,50,518,49,12,0,12,1
lme_0009,f8c5f88b,46,487,27,12,209,221,0
lme_0010,5d3d2817,53,510,26,12,257,269,0
lme_0011,7527f7e2,45,490,15,12,313,325,0
lme_0012,c960da58,46,504,4,12,456,468,0
lme_0013,3b6f954b,50,470,21,10,238,248,0
lme_0014,726462e0,48,501,11,12,376,388,0
lme_0015,94f70d80,49,510,46,12,24,36,1
lme_0016,66f24dbb,50,507,19,12,332,344,0
lme_0017,ad7109d1,44,466,16,12,283,295,0
lme_0018,af8d2e46,50,495,44,10,46,56,1
lme_0019,dccbc061,49,505,17,12,311,323,0
lme_0020,c8c3f81d,52,487,46,10,60,70,1
lme_0021,8ebdbe50,48,487,40,12,73,85,1
lme_0022,6b168ec8,50,482,34,12,148,160,0
lme_0023,75499fd8,52,491,26,12,243,255,0
lme_0024,21436231,50,512,6,12,430,442,0
