item,run,test_id
L001,opus_control,lme_0008
L002,opus_control,lme_0015
L003,opus_control,lme_0010
L004,opus_control,lme_0017
L005,opus_control,lme_0009
L006,opus_control,lme_0014
L007,opus_control,lme_0021
L008,opus_control,lme_0004
L009,opus_control,lme_0022
L010,opus_control,lme_0006
L011,opus_control,lme_0024
L012,opus_control,lme_0013
L013,opus_control,lme_0019
L014,opus_control,lme_0012
L015,opus_control,lme_0020
L016,opus_control,lme_0011
L017,opus_control,lme_0003
L018,opus_control,lme_0023
L019,opus_control,lme_0005
L020,opus_control,lme_0016
L021,opus_control,lme_0007
L022,opus_control,lme_0018
L023,opus_control,lme_0000
L024,opus_control,lme_0001
L025,opus_control,lme_0002
