item,test_id,reader
J01,lme_0022,terra
J02,lme_0003,terra
J03,lme_0024,terra
J04,lme_0024,sonnet
J05,lme_0006,terra
J06,lme_0016,opus
J07,lme_0022,sonnet
J08,lme_0006,opus
J09,lme_0017,opus
J10,lme_0002,terra
J11,lme_0023,terra
J12,lme_0019,terra
J13,lme_0008,opus
J14,lme_0019,opus
J15,lme_0008,terra
J16,lme_0021,sonnet
J17,lme_0020,sonnet
J18,lme_0022,opus
J19,lme_0002,opus
J20,lme_0009,opus
J21,lme_0000,sonnet
J22,lme_0017,terra
J23,lme_0024,opus
J24,lme_0020,opus
J25,lme_0010,sonnet
J26,lme_0011,terra
J27,lme_0013,terra
J28,lme_0015,sonnet
J29,lme_0010,opus
J30,lme_0009,sonnet
J31,lme_0007,opus
J32,lme_0009,terra
J33,lme_0018,opus
J34,lme_0018,terra
J35,lme_0005,terra
J36,lme_0004,terra
J37,lme_0014,opus
J38,lme_0003,sonnet
J39,lme_0006,sonnet
J40,lme_0002,sonnet
J41,lme_0016,sonnet
J42,lme_0004,opus
J43,lme_0023,sonnet
J44,lme_0020,terra
J45,lme_0001,sonnet
J46,lme_0011,sonnet
J47,lme_0023,opus
J48,lme_0007,sonnet
J49,lme_0012,terra
J50,lme_0007,terra
J51,lme_0011,opus
J52,lme_0001,opus
J53,lme_0013,opus
J54,lme_0004,sonnet
J55,lme_0014,terra
J56,lme_0019,sonnet
J57,lme_0018,sonnet
J58,lme_0013,sonnet
J59,lme_0014,sonnet
J60,lme_0021,opus
J61,lme_0021,terra
J62,lme_0000,terra
J63,lme_0003,opus
J64,lme_0012,sonnet
J65,lme_0001,terra
J66,lme_0008,sonnet
J67,lme_0010,terra
J68,lme_0000,opus
J69,lme_0012,opus
J70,lme_0005,sonnet
J71,lme_0005,opus
J72,lme_0015,terra
J73,lme_0015,opus
J74,lme_0016,terra
J75,lme_0017,sonnet
